Kanton;Wahljahr;Total;FDP;CVP;SP;SVP;LPS;LdU;EVP;CSP;GLP;BDP;GPS;DSP;PdA;PSA;POCH;FGA;Sol.;SD;Rep.;EDU;FPS;Lega;MCR;LS;weitere;kleine Linksparteien;kleine Rechtsparteien
Luzern;2003;120;28;44;16;26;NA;0;NA;0;0;NA;6;NA;NA;NA;0;0;NA;0;NA;NA;NA;NA;NA;NA;0;0;0
Luzern;2007;120;29;46;13;23;NA;0;NA;0;0;NA;9;NA;NA;NA;0;0;NA;0;NA;NA;NA;NA;NA;NA;0;0;0
Luzern;2011;120;23;39;16;27;NA;0;NA;0;6;NA;9;NA;NA;NA;0;0;NA;0;NA;NA;NA;NA;NA;NA;0;0;0
Luzern;2015;120;25;38;16;29;NA;0;NA;0;5;NA;7;NA;NA;NA;0;0;NA;0;NA;NA;NA;NA;NA;NA;0;0;0
Neuenburg;1969;115;35;1;38;0;22;0;NA;NA;0;NA;0;NA;8;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;11;8;0
Neuenburg;1973;115;35;0;41;0;26;0;NA;NA;0;NA;0;NA;6;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;7;6;0
Neuenburg;1977;115;30;0;41;0;27;4;NA;NA;0;NA;0;NA;6;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;7;6;0
Neuenburg;1981;115;29;0;46;0;33;3;NA;NA;0;NA;0;NA;4;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;0;4;0
Neuenburg;1985;115;31;0;42;0;38;0;NA;NA;0;NA;0;NA;4;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;0;4;0
Neuenburg;1989;115;25;0;45;0;34;0;NA;NA;0;NA;6;NA;4;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;1;4;0
Neuenburg;1993;115;29;0;39;0;38;0;NA;NA;0;NA;5;NA;4;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;0;4;0
Neuenburg;1997;115;24;0;41;0;38;0;NA;NA;0;NA;5;NA;6;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;0;7;0
Neuenburg;2001;115;25;0;39;0;35;0;NA;NA;0;NA;7;NA;7;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;0;9;0
Neuenburg;2005;115;15;0;41;17;25;0;NA;NA;0;NA;10;NA;6;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;0;7;0
Neuenburg;2009;115;41;0;36;14;0;0;NA;NA;0;NA;14;NA;8;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;0;10;0
Neuenburg;2013;115;35;1;33;20;0;0;NA;NA;5;NA;12;NA;8;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;0;9;0
Neuenburg;2017;115;43;2;32;9;0;0;NA;NA;4;NA;17;NA;6;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;0;8;0
Nidwalden;1970;60;18;41;1;0;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
Nidwalden;1974;60;18;42;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
Nidwalden;1978;60;18;42;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
Nidwalden;1982;60;22;35;1;0;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;0;0
Nidwalden;1986;60;25;32;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;0;0
Nidwalden;1990;60;22;30;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;0;0
Nidwalden;1994;60;21;33;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;0;0
Nidwalden;1998;60;21;30;1;0;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;0;0
Nidwalden;2002;60;19;24;2;7;NA;NA;NA;NA;NA;NA;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0
Nidwalden;2006;60;18;23;1;10;NA;NA;NA;NA;NA;NA;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0
Nidwalden;2010;60;17;18;1;19;NA;NA;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
Nidwalden;2014;60;15;17;3;17;NA;NA;NA;NA;NA;NA;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
Nidwalden;2018;60;17;16;3;15;NA;NA;NA;NA;NA;NA;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0
Obwalden;1970;45;8;36;0;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0
Obwalden;1974;51;15;34;0;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;0;0
Obwalden;1978;51;13;33;0;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;0;0
Obwalden;1982;52;14;33;0;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;0;0
Obwalden;1986;52;12;33;0;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;0;0
Obwalden;1990;55;14;35;0;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;0;0
Obwalden;1994;55;14;37;0;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;0;0
Obwalden;1998;55;13;35;6;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0
Obwalden;2002;55;11;29;8;7;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
Obwalden;2006;55;10;23;6;6;NA;NA;NA;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
Obwalden;2010;55;10;20;6;11;NA;NA;NA;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
